id,title
NEED-001,Reducir la deserción de primer año
NEED-002,Detectar plagio en tesis con IA
NEED-003,Optimizar el uso de laboratorios de química
NEED-004,Mejorar la empleabilidad de egresados
NEED-005,Digitalizar el archivo histórico universitario
NEED-006,Predecir demanda de cursos electivos
NEED-007,Fortalecer la investigación en energías renovables
NEED-008,Mapear redes de coautoría entre facultades
NEED-009,Automatizar la revisión de protocolos éticos
NEED-010,Vincular tesis con necesidades del sector productivo
NEED-011,Reducir tiempos de titulación en ingeniería
NEED-012,Detectar brechas de género en investigación
NEED-013,Mejorar la accesibilidad de biblioteca digital
NEED-014,Priorizar mantenimiento de equipos de laboratorio
NEED-015,Conectar semilleros de investigación con empresas
NEED-016,Analizar movilidad estudiantil internacional
NEED-017,Fortalecer bilingüismo en programas de posgrado
NEED-018,Detectar riesgo de abandono en becarios
NEED-019,Optimizar asignación de tutores de tesis
NEED-020,Mapear capacidades en inteligencia artificial
NEED-021,Vincular proyectos de aula con ODS
NEED-022,Mejorar trazabilidad de fondos de investigación
NEED-023,Detectar duplicidad de líneas de investigación
NEED-024,Fortalecer laboratorios de biotecnología
NEED-025,Analizar impacto de publicaciones científicas
NEED-026,Conectar egresados con mentoría estudiantil
NEED-027,Optimizar horarios de laboratorios compartidos
NEED-028,Detectar necesidades de infraestructura tecnológica
NEED-029,Fortalecer alianzas interuniversitarias
NEED-030,Mejorar la retención en programas técnicos
NEED-031,Mapear expertos en ciberseguridad
NEED-032,Vincular tesis de pregrado con posgrado
NEED-033,Detectar oportunidades de patentamiento
NEED-034,Fortalecer formación docente en metodologías activas
NEED-035,Analizar deserción por facultad y semestre
NEED-036,Optimizar asignación de fondos concursables
NEED-037,Conectar laboratorios con proyectos comunitarios
NEED-038,Detectar necesidades de equipamiento científico
NEED-039,Fortalecer investigación en salud pública
NEED-040,Mapear colaboraciones internacionales activas
NEED-041,Mejorar la calidad de tesis de maestría
NEED-042,Detectar sinergias entre grupos de investigación
