id,title
NEED-001,Predicción y prevención de deserción estudiantil
NEED-002,Personalización del aprendizaje
NEED-003,Evaluación automática de competencias
NEED-004,Detección de antecedentes y duplicidad de trabajos de grado
NEED-005,Monitoreo remoto cardiovascular
NEED-006,Predicción epidemiológica
NEED-007,Seguridad de información clínica
NEED-008,Prevención inteligente de riesgos laborales
NEED-009,Monitoreo inteligente de calidad del agua
NEED-010,Predicción de riesgo climático territorial
NEED-011,Infraestructura urbana inteligente
NEED-012,Optimización energética institucional
NEED-013,Detección de fraude financiero
NEED-014,Riesgo crediticio explicable
NEED-015,Optimización logística
NEED-016,Mantenimiento predictivo
NEED-017,Ciberseguridad basada en comportamiento
NEED-018,Análisis inteligente de producción científica
NEED-019,Fortalecimiento de capacidades territoriales
NEED-020,Resiliencia urbana frente a episodios ambientales extremos
NEED-021,Actualización de portafolio de investigación aplicada
NEED-022,Mapa de capacidades para cooperación internacional
NEED-023,Identificación de brechas curriculares digitales
NEED-024,Priorización de proyectos de innovación regional
NEED-025,Seguimiento de resultados de aprendizaje
NEED-026,Gestión de datos de investigación
NEED-027,Fortalecimiento de interoperabilidad institucional
NEED-028,Detección temprana de riesgos operativos
NEED-029,Articulación de laboratorios con docencia
NEED-030,Seguimiento de proyectos interdisciplinarios
NEED-031,Identificación de expertos para convocatorias
NEED-032,Análisis de pertinencia de nuevas electivas
NEED-033,Uso eficiente de infraestructura científica
NEED-034,Mapa de conocimiento para extensión universitaria
NEED-035,Detección de redundancias en iniciativas institucionales
NEED-036,Evaluación de tendencias tecnológicas emergentes
NEED-037,Fortalecimiento de semilleros interdisciplinarios
NEED-038,Conexión de publicaciones con proyectos activos
NEED-039,Seguimiento de capacidades en sostenibilidad
NEED-040,Identificación de oportunidades con comunidades
NEED-041,Análisis de dependencia tecnológica
NEED-042,Integración de evidencias para acreditación
